name,rating,review_count,price,categories,address,latitude,longitude,phone,url,parking_available
"Valentine, Smith and Conner Diner",3.4,687,$$$$,"Mexican, Chinese","01923 Gonzales Fords Apt. 104, Minneapolis, MN 50784",44.980053,-93.279074,292-340-9346x89742,http://hart-shea.com/,Yes
Velez Inc Steakhouse,3.7,922,$,American,"2509 Rebekah Tunnel Apt. 500, Minneapolis, MN 55493",44.92705,-93.223818,(978)610-5107x5193,https://www.osborne.com/,No
Austin-Harrison Diner,3.9,804,$$,"BBQ, American","8118 Brown Forge, Minneapolis, MN 56948",45.001877,-93.344761,(485)293-1019x098,https://www.carr-sexton.com/,No
"Marquez, Johnson and Shepard Bistro",3.5,137,$$$$,"Thai, Mexican, Italian","4744 Rodriguez Plaza Apt. 757, Minneapolis, MN 29711",44.891521,-93.285941,+1-690-259-9775x9796,http://garrison.com/,No
"Nichols, Wright and Greene Grill",3.4,765,$$$$,Chinese,"1001 Gonzalez Locks, Minneapolis, MN 57200",44.937731,-93.217827,(986)634-5785,https://bridges.info/,Yes
Perry Inc Diner,2.7,740,$$,"Chinese, Italian","94219 Cody Alley, Minneapolis, MN 09472",44.948434,-93.294956,980-691-8051,http://frazier-chapman.com/,No
"Johnson, Martin and Clark Diner",4.2,400,$,Italian,"52818 Jessica Vista, Minneapolis, MN 40471",45.046429,-93.315682,+1-415-334-6486x0190,http://www.bradley.biz/,No
Cameron and Sons Grill,2.5,30,$$,"Mexican, American, Indian","53231 Hughes Shoals, Minneapolis, MN 48443",44.904508,-93.250787,522-917-0912,https://york.net/,No
Dickson-Dickerson Cafe,4.1,83,$$$,"Thai, BBQ, Mexican","6995 Sanchez Bypass, Minneapolis, MN 19016",44.95489,-93.285771,5838043711,http://www.hansen.org/,No
Hickman-Berg Cafe,2.8,328,$,"BBQ, Mexican","79840 Richard Lights Apt. 279, Minneapolis, MN 10369",44.969681,-93.209068,397-674-4071x5749,https://huff.com/,No
White Inc Kitchen,3.1,987,$,"Indian, Italian","611 Snyder Crescent, Minneapolis, MN 27257",44.965739,-93.235549,7404940210,https://simpson.com/,No
"Martin, Crosby and Allen Kitchen",4.9,11,$$$,"Seafood, Mexican, Indian","770 Anderson Knolls, Minneapolis, MN 35267",45.028858,-93.335136,5652597758,http://lopez-dominguez.com/,Yes
"Hawkins, Maldonado and Garcia Bistro",3.4,427,$,"American, Thai, Italian","26618 Phillips Path, Minneapolis, MN 66441",45.023922,-93.317077,+1-444-203-0415x606,https://carter-robinson.com/,Yes
Wilson-Wood Kitchen,3.6,451,$,"Mexican, Seafood","94517 Adkins Motorway Suite 863, Minneapolis, MN 53172",45.016006,-93.310538,+1-330-398-7309x293,http://hunt.com/,Yes
Mcneil Ltd Grill,3.7,954,$$,"Indian, Mexican","96068 Erik Square Suite 515, Minneapolis, MN 06998",44.89019,-93.222004,(394)744-6799,http://www.schaefer.org/,No
Sullivan-Brown Cafe,2.7,688,$,"American, Seafood, French","49177 Kimberly Station, Minneapolis, MN 39992",44.915001,-93.227051,001-625-312-5108,https://www.alvarez-white.com/,Yes
"Carroll, Thompson and Smith Bistro",5.0,14,$,French,"03930 Smith Branch, Minneapolis, MN 67905",45.026791,-93.306836,290.576.7263,https://www.meyer.com/,No
Yu Inc Grill,3.7,23,$$$$,Chinese,"45119 Danny Brook, Minneapolis, MN 38271",44.956807,-93.239627,936.330.0028x612,http://www.nelson-lyons.com/,No
"Brown, Lewis and Horn Grill",3.4,495,$$,Chinese,"6187 Veronica Corners Apt. 635, Minneapolis, MN 15269",45.040819,-93.310613,9218915046,https://johnson.info/,Yes
Flowers and Sons Cafe,3.0,965,$$$$,"Seafood, Mexican, American","4830 Preston Course, Minneapolis, MN 72372",44.97517,-93.26263,552-857-9476,https://sanders-carlson.biz/,No
"Strong, Robertson and Green Cafe",3.1,352,$$$,"Mexican, Seafood","7323 Anna Estates, Minneapolis, MN 22215",44.977098,-93.218853,+1-426-388-0092x944,http://www.hardy.com/,No
Clark-Hamilton Eatery,4.7,276,$$$,Thai,"70238 Rubio Pine Apt. 620, Minneapolis, MN 03063",44.890768,-93.280135,613.942.3363x20913,https://young.net/,No
Petersen-Vincent Kitchen,4.4,658,$$,"Chinese, Vegan","24056 Richards Streets Suite 213, Minneapolis, MN 99043",44.987396,-93.241153,368.774.3269x363,http://www.silva-jones.com/,No
Green-Glass Kitchen,4.1,853,$$$,"BBQ, Italian","48979 Timothy Stream Suite 232, Minneapolis, MN 39812",44.946873,-93.213278,374.647.7810x072,https://martin.net/,Yes
"Brown, Hoffman and Gonzalez Kitchen",3.1,896,$,BBQ,"74516 Charles Rest Apt. 437, Minneapolis, MN 52685",44.947223,-93.251292,749.918.5801x959,http://www.white.com/,No
"Gibson, Munoz and Leach Bistro",3.0,542,$,"BBQ, Italian","54203 May Port Suite 872, Minneapolis, MN 90118",44.92634,-93.251013,(725)536-0952x3163,http://www.bishop.org/,Yes
Wilson LLC Cafe,4.5,451,$,"Vegan, Italian","9929 Angela Cove Apt. 043, Minneapolis, MN 81373",44.964779,-93.277157,201.920.7200x0066,http://www.contreras.info/,Yes
Robles PLC Grill,4.8,164,$$,"Thai, Mexican, French","18841 Melissa Plaza Apt. 070, Minneapolis, MN 87891",45.045493,-93.229627,372.973.9278x4653,https://www.morgan-anderson.com/,Yes
Grant Inc Kitchen,3.7,491,$$$,"Seafood, Indian, BBQ","39101 Erica Circle Suite 456, Minneapolis, MN 99478",45.012022,-93.229715,365.958.0544x777,https://www.harris.org/,Yes
"Campbell, Rodriguez and Flynn Diner",3.5,214,$$$,"Thai, French, Indian","613 Melissa Mission, Minneapolis, MN 02888",44.895903,-93.306226,001-359-625-6028x4697,http://www.hooper.com/,Yes
Randolph-Valenzuela Cafe,4.8,832,$$$,"BBQ, French, Thai","74581 Bowen Harbors, Minneapolis, MN 89247",45.021761,-93.241426,495.448.3053x38850,http://www.austin-lee.com/,No
"Little, Vargas and Morgan Cafe",5.0,872,$,Italian,"463 Melissa Estate Suite 252, Minneapolis, MN 77549",44.911171,-93.260761,655-203-8007x5610,http://harris.net/,Yes
"Smith, Lee and Shields Grill",3.5,727,$$$,"Chinese, Vegan","9562 Gary Gateway Apt. 859, Minneapolis, MN 36447",44.891804,-93.3002,001-342-868-3645x7499,https://thomas-robinson.info/,No
Brown-George Kitchen,2.7,798,$$$$,"French, BBQ, American","6539 Becker Road, Minneapolis, MN 17703",44.900572,-93.243859,2939543416,http://goodman-pineda.com/,No
Parker PLC Kitchen,4.4,237,$$,American,"030 Vargas Curve, Minneapolis, MN 30025",45.023485,-93.293378,001-592-315-6066x328,http://www.lopez.biz/,No
Miller-Jones Kitchen,3.0,417,$$,French,"307 Diaz Circle Suite 949, Minneapolis, MN 44117",45.019846,-93.342633,602-853-8476x60557,https://www.lester.com/,Yes
Wilson Group Cafe,4.4,739,$$$$,Mexican,"1346 George Rapid, Minneapolis, MN 82696",44.958582,-93.324204,457.526.5096x47425,https://nelson.com/,Yes
"Blanchard, Harris and Fox Eatery",4.2,288,$$$,"Mexican, Italian","0511 Joseph Ridge Suite 962, Minneapolis, MN 54041",44.955377,-93.261578,299-847-8204x3700,https://rios.net/,No
"Perez, Middleton and Baker Cafe",2.8,359,$$,"American, BBQ, Seafood","9172 Williamson Meadows Suite 365, Minneapolis, MN 27070",45.014697,-93.32293,001-786-699-3149x38789,http://www.moss.com/,Yes
Perez-Gibson Grill,2.9,5,$$,BBQ,"3358 Rogers Lane, Minneapolis, MN 90399",44.915201,-93.222506,763.728.6454x5276,http://www.kidd-thompson.biz/,No
"Smith, Tyler and Campbell Grill",2.6,531,$$$,"Vegan, Thai","5174 Jasmine Tunnel, Minneapolis, MN 14863",44.93524,-93.321405,001-321-637-5033x135,https://jackson.com/,Yes
Little-Mcgee Steakhouse,4.5,399,$$$$,"Chinese, American","301 Carlson Estate, Minneapolis, MN 16670",44.930522,-93.289726,687-257-3193x461,https://www.higgins.biz/,No
Fletcher Inc Diner,4.6,815,$,"Vegan, Italian, Thai","886 Jacqueline Valley, Minneapolis, MN 99435",44.899808,-93.252296,001-924-448-4468x95834,https://white.com/,Yes
"Gamble, Stephens and Flores Eatery",4.6,608,$$$$,"Indian, Mexican, Italian","58486 Duncan Estates, Minneapolis, MN 27537",44.987716,-93.348567,001-997-599-0005,http://www.mccarthy-washington.com/,No
Martin-Mcdonald Grill,4.6,80,$$$$,"American, French, Mexican","375 Lawrence Walk Suite 412, Minneapolis, MN 01715",44.958203,-93.217367,+1-982-256-2541x1402,https://green.com/,No
Elliott-Crane Kitchen,2.5,943,$$$,Indian,"05720 Joanna Curve Suite 669, Minneapolis, MN 96332",45.045714,-93.2465,+1-768-541-8474x1305,https://www.castaneda-cook.com/,Yes
Ochoa Ltd Cafe,4.2,67,$$$$,"Vegan, Thai","5894 Walker Roads Suite 938, Minneapolis, MN 19998",45.024136,-93.300901,(220)463-2808x186,http://www.watson.com/,Yes
Davis Ltd Bistro,3.0,31,$$$$,French,"33296 Kim Springs, Minneapolis, MN 31294",44.921738,-93.315404,(259)546-3440,http://www.martin.com/,Yes
Ruiz-Griffin Kitchen,3.6,824,$$$,BBQ,"99567 Matthew Burgs Suite 050, Minneapolis, MN 51209",44.931014,-93.263802,(340)659-5888x02744,http://www.mccall-munoz.com/,Yes
Lee-Jordan Steakhouse,4.0,744,$$$$,"Indian, BBQ","713 White Island Suite 546, Minneapolis, MN 24204",44.931305,-93.308726,(290)918-5838x767,https://smith.com/,No
Osborne Group Grill,3.5,844,$$$,"BBQ, Indian","28830 Turner Corner Suite 231, Minneapolis, MN 16562",44.907225,-93.333135,+1-872-957-8187x29813,http://quinn.com/,No
Bishop Group Steakhouse,3.7,772,$$$,"American, Vegan, French","109 Clark Fields Suite 696, Minneapolis, MN 23375",44.899398,-93.323317,945.431.2799x0192,http://buchanan.com/,No
Diaz Inc Grill,3.8,176,$$,BBQ,"7259 Valerie Mount Apt. 158, Minneapolis, MN 70793",45.025378,-93.200984,415-701-3650x523,http://www.wright-bowman.com/,No
"Ross, Preston and Short Grill",3.8,687,$,"Thai, Chinese","05190 Horton Stream, Minneapolis, MN 88283",45.025549,-93.327041,758-631-9415x203,https://campos-williams.info/,No
Jackson and Sons Cafe,4.0,925,$,"French, Mexican","77596 Walker Ridges, Minneapolis, MN 47060",44.993191,-93.267497,001-593-634-3024x6558,https://www.smith-vargas.com/,No
Downs-Bailey Eatery,3.0,823,$$,Italian,"1709 George Parks Suite 238, Minneapolis, MN 65644",44.954193,-93.272718,+1-684-355-0170,https://smith-sandoval.com/,No
James-Thompson Steakhouse,2.9,785,$$$,Thai,"024 Ralph Forest Apt. 192, Minneapolis, MN 04690",45.029515,-93.239401,468-436-7098x598,http://www.allen.biz/,Yes
Hoffman-Randall Diner,2.6,240,$,"Vegan, BBQ","455 Elizabeth Junctions Suite 456, Minneapolis, MN 54425",45.006964,-93.330596,+1-485-723-4432x703,http://www.clark-evans.net/,No
White-Morris Eatery,4.2,692,$$$,"Mexican, Indian","20436 Middleton Forges Suite 188, Minneapolis, MN 78812",44.988838,-93.339057,768.768.9532x305,http://wilcox.net/,No
Perez-Kirk Bistro,4.2,930,$,"French, Thai","234 George Plains Apt. 341, Minneapolis, MN 55444",45.001034,-93.308739,514.997.9635,https://www.garza.com/,No
Miller and Sons Eatery,4.9,369,$$$,"American, Indian","557 Joseph Greens Apt. 038, Minneapolis, MN 42014",44.946138,-93.297279,773.277.9507,http://andrews.com/,No
"Rodriguez, Paul and Obrien Grill",3.6,163,$$$$,"Thai, Indian","1161 Nina Prairie Suite 301, Minneapolis, MN 17548",44.93471,-93.215249,+1-864-444-3906,https://www.roberts.com/,Yes
Kelly-Cardenas Diner,4.8,525,$$,"French, American","4786 Kelli Coves Suite 542, Minneapolis, MN 36943",44.952107,-93.227647,503.290.1007,https://www.schmitt-stone.com/,Yes
Mack-Lewis Cafe,4.8,866,$,"Italian, Seafood","1253 Perez View, Minneapolis, MN 69179",44.982674,-93.250626,5586969012,https://doyle.com/,No
Mullen and Sons Bistro,3.7,834,$$,French,"34730 Rojas Ports, Minneapolis, MN 13425",44.968449,-93.294061,430-503-9232,https://www.meyer.com/,Yes
Suarez-Sanchez Kitchen,3.4,396,$$$$,Seafood,"84077 Flores Path, Minneapolis, MN 66845",45.018257,-93.30963,001-519-223-4120,http://www.lynch.org/,No
Williams Group Grill,2.8,861,$$,"Mexican, Chinese, Indian","8514 Anne Road, Minneapolis, MN 02266",44.917213,-93.244369,630-756-9591x8327,https://www.jackson.com/,Yes
"Marshall, Crawford and Nichols Cafe",4.6,111,$$$$,"American, French","47774 Donald Creek Suite 022, Minneapolis, MN 05005",44.93487,-93.227759,+1-931-436-3469,http://lewis.org/,No
"Anderson, Leach and Dillon Bistro",4.0,948,$$,"Indian, Vegan","2403 Stewart Mount Suite 255, Minneapolis, MN 08423",45.01798,-93.291057,656-644-2326,http://allen.com/,Yes
Burton Group Cafe,3.8,384,$$,French,"504 Ford Mountains Apt. 621, Minneapolis, MN 84193",44.985822,-93.23122,7705673819,https://www.ellis.net/,No
Rodriguez-White Kitchen,2.7,366,$,"American, Seafood, Chinese","529 Lauren Avenue, Minneapolis, MN 93447",44.905143,-93.22956,(402)682-1279x707,http://www.brown-macias.biz/,Yes
"Ford, Martin and Delgado Bistro",3.2,643,$,"American, Vegan, Thai","19139 Lopez Run, Minneapolis, MN 17911",45.004363,-93.323484,716-588-7268x59152,https://www.mcmahon.com/,No
Russell-Lewis Kitchen,3.0,259,$,"Italian, Seafood, Mexican","7354 Mullen Fords Suite 557, Minneapolis, MN 21216",45.013904,-93.248584,001-824-857-8059x015,http://adams.com/,Yes
"Sutton, Campbell and Jordan Grill",4.4,404,$$,"Seafood, Thai","55991 Mendez Club Apt. 459, Minneapolis, MN 42394",44.980991,-93.229917,772-374-2963,https://www.vargas-lee.com/,Yes
Weeks-Wells Cafe,3.0,213,$$$$,"Seafood, Mexican","1482 Turner Crescent, Minneapolis, MN 77647",44.92379,-93.218617,(254)628-5962,https://www.moss.info/,No
"Brown, Edwards and Bean Diner",4.1,774,$$$$,"Mexican, Seafood, Italian","43281 Jason Cliff Apt. 403, Minneapolis, MN 60013",44.932235,-93.207603,+1-330-494-7289x5331,http://www.garcia-gomez.info/,Yes
Watkins-Glass Diner,3.6,997,$$$,"French, Italian","8014 Lindsey Pike, Minneapolis, MN 02350",44.961724,-93.307488,(768)347-2010,https://navarro.com/,No
"Melendez, Morse and Garcia Cafe",4.4,748,$$$$,"American, Mexican, Italian","11462 Hooper Trace, Minneapolis, MN 42434",44.952635,-93.292193,582.692.3312,https://everett-jackson.com/,Yes
Brown Group Cafe,4.2,837,$$$,"Thai, French, Chinese","6050 Jennings Turnpike Suite 147, Minneapolis, MN 33124",45.025931,-93.327107,214-350-4751x214,https://richardson.com/,No
Gray-Hunter Grill,3.3,34,$,Mexican,"632 Peters Road, Minneapolis, MN 49078",45.024658,-93.321892,848.562.4687,http://whitaker.org/,No
"Sanchez, Dyer and Combs Diner",4.2,991,$$$,"Seafood, Italian","09860 Ellison Land Apt. 452, Minneapolis, MN 35757",45.037697,-93.34281,(329)930-3608,http://oconnor.com/,Yes
Rice-Williams Cafe,4.4,78,$,American,"63314 Knight Spur Apt. 292, Minneapolis, MN 62334",44.900376,-93.31649,001-685-428-3643x1690,http://www.knox.biz/,Yes
"Quinn, Hopkins and Lewis Bistro",3.8,218,$,"Mexican, French, Italian","151 Benjamin Lakes Suite 395, Minneapolis, MN 66022",44.942808,-93.273429,(354)724-7239,http://www.george.biz/,No
Cardenas-Martin Bistro,3.3,267,$,"BBQ, Chinese, Seafood","6345 James Pine Suite 993, Minneapolis, MN 06730",45.049047,-93.226286,+1-631-972-9549,http://mahoney-norman.com/,Yes
Lucas Ltd Diner,3.0,702,$$$$,"Italian, BBQ, Seafood","367 Gonzalez Burg, Minneapolis, MN 28369",44.979792,-93.308259,(510)796-4738x7776,http://www.foster-castro.biz/,No
Hutchinson Group Cafe,3.0,675,$$$,"Indian, Mexican, BBQ","5214 Stephanie Canyon Suite 304, Minneapolis, MN 25350",45.013945,-93.226152,(618)373-5561x690,http://anderson.com/,No
Caldwell-Hall Grill,2.7,138,$$,Chinese,"13410 Smith Glen, Minneapolis, MN 83548",44.926897,-93.346587,3869712841,https://www.coffey-palmer.info/,Yes
Tate-Williams Diner,5.0,920,$,"Chinese, Italian, French","8943 Andrew Stravenue, Minneapolis, MN 52811",44.904732,-93.285131,742-228-3905x93281,http://gibson.biz/,Yes
"Carney, Allen and Rios Eatery",4.2,719,$$,"BBQ, Italian","83461 Roach Plains, Minneapolis, MN 50705",44.963695,-93.22464,+1-879-243-1336x627,https://moore.com/,No
Rose Inc Kitchen,4.5,252,$,BBQ,"76183 Coleman Lock Suite 321, Minneapolis, MN 79419",44.943477,-93.347449,(615)490-9107x29991,https://www.ross.biz/,No
Moore-Hickman Grill,2.6,41,$$$,"American, Seafood, French","5521 Cassandra Ridges Suite 462, Minneapolis, MN 96176",44.984671,-93.207954,+1-699-780-9725,https://www.long.biz/,No
Greene-Hill Steakhouse,4.3,213,$$$,Italian,"7707 Russell Radial, Minneapolis, MN 13047",45.0359,-93.287784,+1-593-694-6614x88260,https://www.martinez.com/,No
"Mcclain, Lowe and Henson Kitchen",3.6,722,$$$,"BBQ, French, Indian","8901 Alexandra Plain Apt. 447, Minneapolis, MN 92412",45.011564,-93.345881,(729)868-4385x2160,https://www.jordan.com/,Yes
"Lara, Curtis and Howard Diner",3.4,866,$,"Mexican, Italian, American","95672 Spencer Shoal, Minneapolis, MN 98390",44.972643,-93.202289,001-840-828-4789x8769,https://www.nelson-cook.org/,Yes
"Smith, Powers and Jones Grill",4.6,580,$$,American,"86672 Diana Cove Apt. 499, Minneapolis, MN 21893",44.984611,-93.216505,283-917-8033,http://www.wilson-smith.com/,No
Martin Ltd Cafe,2.8,59,$$,Vegan,"4141 Justin Avenue, Minneapolis, MN 95128",44.955888,-93.343121,001-693-775-3371x946,http://thomas-hampton.com/,Yes
Liu LLC Kitchen,3.4,111,$,"Vegan, BBQ","1260 White Ferry, Minneapolis, MN 55747",45.045997,-93.294744,001-438-293-8007x6772,http://www.douglas.biz/,Yes
Rice and Sons Grill,3.2,695,$,"Mexican, Vegan","160 Wayne Roads Suite 649, Minneapolis, MN 28533",44.936998,-93.248442,419-823-0997,https://williams.net/,Yes
"Sherman, Perez and Brown Eatery",3.3,233,$$$$,American,"3829 Tanya Crossroad, Minneapolis, MN 00764",44.980012,-93.32213,595-652-2902,https://www.orr.com/,Yes
Rivas-Stevenson Steakhouse,4.7,985,$,"Vegan, Mexican","9364 Corey Field, Minneapolis, MN 63536",44.983247,-93.207406,001-635-507-7160x9633,http://garcia-powell.com/,Yes
Johnson Ltd Grill,3.5,655,$$,"Mexican, Vegan, Indian","160 Christina Landing, Minneapolis, MN 34023",44.950601,-93.285472,(219)645-9192x189,https://steele.com/,No
Walls-Ryan Grill,2.9,108,$,"BBQ, Italian","408 Ford Mill, Minneapolis, MN 88081",44.973138,-93.314348,911.316.1318x91774,http://www.young-mullins.com/,Yes
"Wright, Solomon and Haas Kitchen",3.8,495,$,"Indian, Chinese","37891 Gonzalez View, Minneapolis, MN 61296",44.917755,-93.274966,645-226-9780x9867,http://www.crosby.net/,Yes
Kim-Ford Grill,2.5,940,$,Italian,"7888 Emily Corners, Minneapolis, MN 19574",45.049023,-93.266463,(778)239-7880,http://www.fisher-nicholson.com/,No
Alexander LLC Steakhouse,4.7,775,$$$$,"Seafood, BBQ","5193 Stephanie Stravenue Apt. 747, Minneapolis, MN 09482",44.948785,-93.201927,(812)268-5338,https://graham-leon.com/,No
"Ward, Allen and Henderson Diner",4.1,823,$$,"Italian, Seafood, Indian","587 Martin Square, Minneapolis, MN 79357",44.945084,-93.315792,001-259-677-2140x485,http://www.gutierrez-stark.com/,Yes
Hall Group Diner,4.6,236,$$,"Vegan, Indian","6232 Tanner Land, Minneapolis, MN 93298",44.97304,-93.270662,757.404.3763,http://fields.net/,No
Williams LLC Diner,3.0,319,$$,BBQ,"9193 Gonzalez Mountain Apt. 817, Minneapolis, MN 05519",44.987484,-93.25572,903-797-5749x124,http://www.cruz.com/,No
Allen PLC Diner,3.3,267,$$,"Italian, Thai","871 Gonzalez Field, Minneapolis, MN 74620",45.022365,-93.279385,465.660.8773,http://russell.com/,No
Williams Group Eatery,3.6,960,$$,American,"1956 Shelby Drive, Minneapolis, MN 85564",44.951929,-93.341739,+1-988-797-5634x24523,http://www.jones.com/,No
"Clark, Brown and White Diner",4.8,151,$$$,"Mexican, BBQ, Chinese","2433 Friedman Mountain Apt. 979, Minneapolis, MN 89791",44.943367,-93.20974,+1-843-379-7754,https://gregory.com/,No
"Miller, Harmon and Tucker Bistro",4.4,390,$$$,"Italian, Indian","3118 Murphy Vista Apt. 474, Minneapolis, MN 26241",44.994908,-93.343549,679-879-8446x581,https://riley-johnson.com/,No
Bell-Swanson Bistro,4.0,102,$$,"Seafood, French, American","5817 Samuel Radial Suite 120, Minneapolis, MN 08448",45.026843,-93.212178,599-670-6272x34093,http://banks.com/,No
Preston-Welch Eatery,4.9,886,$$$$,"Italian, Mexican","26994 Stout Cove, Minneapolis, MN 94823",44.950422,-93.32881,001-778-480-5059x4863,http://www.carr.com/,Yes
Aguilar Group Kitchen,2.9,462,$$$$,French,"0945 Bright Gateway Suite 034, Minneapolis, MN 14626",44.911049,-93.348617,(454)235-8421,http://www.goodman.com/,No
Greene LLC Eatery,2.8,850,$,"BBQ, Italian, American","25212 Smith Plaza, Minneapolis, MN 85154",45.004527,-93.221982,267.467.1179x58888,https://www.anderson.com/,Yes
James-Brooks Steakhouse,3.6,451,$$,"Mexican, BBQ","39197 Flores Pike Apt. 374, Minneapolis, MN 01291",44.966571,-93.272577,969.722.8883x247,https://www.hoover-thomas.com/,No
Smith-Levine Kitchen,3.6,820,$$$$,Mexican,"9904 Williams Parkways Suite 560, Minneapolis, MN 97985",44.913084,-93.254117,321.438.3870x64997,http://www.wilson.com/,Yes
"Edwards, Russo and Lutz Eatery",2.8,743,$,Seafood,"997 Holmes Throughway Suite 839, Minneapolis, MN 48475",44.94411,-93.229336,(570)472-4538x9518,https://www.cooper.com/,Yes
Nelson-Frazier Cafe,4.3,892,$$$$,"Italian, Thai, Vegan","640 Michael Ridges, Minneapolis, MN 84015",44.922675,-93.306296,557.973.9389,https://santos.biz/,No
Rodriguez-Welch Eatery,3.5,707,$$$,Italian,"33390 King Island, Minneapolis, MN 72082",44.930257,-93.282139,(483)461-1061,http://bolton-jones.com/,Yes
Robertson-Wilcox Kitchen,4.0,858,$$$,"Indian, Thai","368 David Track, Minneapolis, MN 27397",45.049218,-93.329845,513-570-2171x7164,http://young-randolph.com/,No
Gutierrez Group Eatery,3.8,802,$$$$,"Thai, Mexican, Vegan","3780 Hill Hills, Minneapolis, MN 02799",44.907118,-93.24199,974-696-3763,https://robinson.info/,No
"Briggs, Campbell and Hickman Cafe",4.7,954,$,American,"909 Thomas Station Apt. 927, Minneapolis, MN 66709",44.941457,-93.289374,(758)775-4709x3158,http://www.yates.com/,No
"York, Hammond and Day Grill",2.6,367,$,"Mexican, Vegan","05732 Lawrence Squares Apt. 773, Minneapolis, MN 94284",44.907903,-93.257909,001-247-868-7755,https://www.nelson.com/,Yes
"Wang, Krueger and Hensley Cafe",2.6,277,$$$$,Chinese,"87016 Klein Center, Minneapolis, MN 82159",44.989455,-93.290979,(607)240-0574x4692,https://richardson.biz/,No
Bennett and Sons Eatery,3.6,325,$,Thai,"5585 Reed Turnpike, Minneapolis, MN 44228",45.039637,-93.281687,687-929-9680,https://www.english-sullivan.com/,Yes
Robinson-Franklin Diner,2.7,870,$$,Italian,"6836 Wang Cliffs Apt. 853, Minneapolis, MN 54468",45.028,-93.312361,6857287784,http://vargas-coleman.com/,Yes
"Vargas, Shepard and Hale Steakhouse",2.6,821,$$$,"Mexican, Thai","9143 Melissa Dale Suite 432, Minneapolis, MN 77157",44.914073,-93.218893,+1-736-318-2826x736,https://johnson.com/,No
"Ho, Nelson and Cox Grill",3.7,714,$,"Italian, American, Chinese","2811 Christina Villages Suite 064, Minneapolis, MN 24461",44.9463,-93.24771,+1-932-692-7428x9289,https://www.pineda.com/,No
