Restaurant Name,Reviewer Name,Review Rating,Review Text,Review Date
Pagliai's Pizza,D M,5 stars,"Man, that's some tasty pizza!  We had a 14 in works and a garlic cheese bread.  I have not had Pagliai's Pizza or Cheese Bread since 1992.   Truly amazing stuff!",4 years ago
Pagliai's Pizza,Jim Sather,2 stars,"Arrived at 11:45 on Thursday for lunch. Decided to get my pizza to go. Was told 30-40 minutes, which for most people would make it difficult to eat lunch. Now 50 minutes into my visit and still no food. Don't come for lunch!!!",5 months ago
Pagliai's Pizza,Eric Schneider,5 stars,"Had a cold poorboy and it was so amazing, yet simple. Definitely a highlight from a weekend in Mankato.",2 weeks ago
Pagliai's Pizza,Steve Halvorson,5 stars,Awesome pizza in a great downtown location.  We will definitely be back!,4 months ago
Pagliai's Pizza,Barbara Featherly,5 stars,"I have eaten in their restaurant, gotten delivery and most recently curbside takeout. Each time the pizza was delicious and for the most part the staff was polite and service was prompt. …",4 years ago
Pagliai's Pizza,Craig Anderson,5 stars,Best pizza I've had in a very long time. Craft beer on tap for $5. Will definitely be back.,3 years ago
Pagliai's Pizza,Greg Howard,5 stars,"Had my first visit today. Ordered the small Pagliais special pizza, the cheese pull was amazing. The small was plenty for 2 meals! Tried my dad's spaghetti and cheese bread which was known to have ""scabs"" 🤣. Was a plus to have an option for …",11 months ago
Pagliai's Pizza,Michael Bolz,5 stars,"The only solid pizza joint in Mankato. A great atmosphere for a casual, low key pizza and beer.  Decent crust, good cheese, and nice sauce. Beer good.",a year ago
Pappageorge Restaurant & Bar,Kristin,4 stars,"Steak and shrimp were tasty but the broccoli was pretty flavorless and you can't sub out the carrot ""garnish"" (or even leave it off the plate if you don't want it), which I wasn't a fan of, I don't like wasting food I know I won't eat. Service was great, the atmosphere was a little too dark for my taste.",a month ago
Pappageorge Restaurant & Bar,Sara Zernechel,5 stars,The food is consistently good every time we eat here!! And you feel like you get a decent amount of food for the price! Wait staff is very nice and accommodating! Highly recommend this restaurant!,a month ago
Pappageorge Restaurant & Bar,Roger Trausch,5 stars,"First time visit to Pappageorge.   As I told my group, this place is like a hole in the wall.  Nothing flashy to draw you in BUT it is one of the best places to go.  The food, service and atmosphere are awesome.  In the outskirts of Mankato and is a diamond in the rough.  Will come back on my next business trip!",5 months ago
Pappageorge Restaurant & Bar,Ellen Krenz,4 stars,"The food is excellent! If you hit it during rush hour, the service is a hair below ""on spot"". Overall, an amazing place to dine.",a week ago
Pappageorge Restaurant & Bar,Cody Thompson,4 stars,"I heard about this place for a while, before finally finding it and checking it out myself. ""Kind of a weird location"" But we've gone twice and really enjoyed ourselves. We weren't that excited about the appetizers, but the main courses and deserts were done well at a fair price. I've recommended friends and family to check it out.",2 years ago
Pappageorge Restaurant & Bar,Kristina Hawkins,5 stars,Our server was personable and didn't hesitate to do as asked but was not a nuisance. The food was fantastic and so were the drinks. I dined on an amazing filet mignon and was treated to a complementary slice of rich moist carrot cake as it …,2 months ago
Pappageorge Restaurant & Bar,You Betcha Bites (Brandon Jackson),5 stars,"OH MY COD 😱

Alright alright I gotta scale down the puns 🐟 But there’s nothin’ more …",2 years ago
Pappageorge Restaurant & Bar,Cole Junk,1 star,"We were in this weekend and had a below average experience. Our server was rude when I asked for a drink recommendation. I enjoy trying special drinks that maybe they’d be known for, but instead I got looked at like I was stupid. We had a …",2 months ago
Pappageorge Restaurant & Bar,Rob Wilkening,5 stars,"This was our first time at this restaurant and bar. Tammy was our server. She kept our glasses full!  We ordered dinner which comes with a basket of some freshly baked bread. It was so nummy!  I ordered Fish and Chips, it was good.  The …",3 years ago
Pappageorge Restaurant & Bar,Gabe Stoesz,5 stars,"All food was very good and, considering the high quality, a reasonable price. Filet mignon perfectly cooked, sides delicious, accommodating staff. A terrific, special family dinner.",2 months ago
Pappageorge Restaurant & Bar,Sue Neufeld,1 star,"Unfortunately, just as we were walking in with a party of four, we were informed something in the kitchen had broken. Because the Hostess had no idea how long any repairs might take, we decided not to wait. We've heard good things about …",2 months ago
Pappageorge Restaurant & Bar,Christy Firm,5 stars,This was our first time eating here. The food was amazing. Steaks were cooked perfect. Carrots we're amazing. The shrimp bisque soup was very good also. We will definitely be back. Make a reservation.,6 months ago
Pappageorge Restaurant & Bar,Lisa Rodriguez,5 stars,Amazing first time we've been there and will definitely be returning!,2 weeks ago
Pappageorge Restaurant & Bar,Drew Link,1 star,Called prior and was told we didn’t need a reservation then was turned away at the door saying they were full when there were 4 open tables…. The hostess was very rude. Customer service was horrible. Was not able to try the food as I have heard the food is good.,3 months ago
Pappageorge Restaurant & Bar,Donovan Nichols,4 stars,"Parking was slightly challenging,  but the service was good. They got our party off four in quickly.  I ordered pork  chops. While they looked good, they were dry. The veges were pretty good but need some seasoning.  The chops were so dry they were almost unpalatable.",a year ago
Pappageorge Restaurant & Bar,Nikki Volker,5 stars,Best steak in the area.   Best scallops ever.   Great meal.  Great service.,a week ago
Pappageorge Restaurant & Bar,C Whitcomb,5 stars,"Always great food here and reasonably priced. Ben at the bar makes absolutely killer old fashioneds. Beautiful decor and friendly staff. It's perfect for date night or relaxed night. Don't sleep on this place, come get some wine, a cocktail, and have a wonderful dinner.",4 years ago
Pappageorge Restaurant & Bar,Clayton Kalmon,5 stars,"Outstanding! Great food, love the Tuesday night chicken parm. Great steaks, nail the temp every time. Excellent value related to price. Awesome staff, very welcoming and attentive. Whenever in the Mankato area, be sure to stop here.",3 years ago
Pappageorge Restaurant & Bar,Falcon RR,5 stars,Papageorge's is one of the best places in Mankato for a date night. I personally recommend the London Broil. It is delicious!,2 weeks ago
Pappageorge Restaurant & Bar,Douglas Thorn,5 stars,Great local spot. Customers playing games and working on pc. Very comfortable.,6 months ago
Pappageorge Restaurant & Bar,Katelyn Dick,4 stars,"Stopped in here looking for an early lunch and was not disappointed! Don't judge this place on its humble appearance: where it lacks in aesthetic it makes up for it with a quiet dining experience, prompt service, and quality food. Boyfriend …",7 years ago
Pappageorge Restaurant & Bar,cauy,3 stars,"The atmosphere was really nice, like a friend's house. The service was really good fast, as soon as I finished my water it was refilled. My walleye was cold and had little flavor, the steamed broccoli was cold, and the carrots were cold. The other steaks were under and over cooked. The food looked better than it was.",11 months ago
Pappageorge Restaurant & Bar,J. R.,4 stars,"Some folks in our party liked the food, those that got the walleye and steak. Those of us that got pasta thought it was overcooked and tasted bland. Service was great....atmosphere was okay.",6 months ago
Pappageorge Restaurant & Bar,Larry Offerman,5 stars,Nice place. Was busy so recommend reservations. Good was fantastic! One of the best steaks ever had! Highly recommend,6 months ago
Pappageorge Restaurant & Bar,Claire Eller,5 stars,Great American cuisine. We had the black and blue burger and the broccoli asiago pasta. The burger was cooked perfectly with some sparky flavor to it! Service was timely and friendly. Atmosphere was clean and welcoming.,7 months ago
Pappageorge Restaurant & Bar,Beau,5 stars,One of my favorite places in town! Never been served a bad meal and Papageorge's service is always top notch.  My favorite meal is the Wild Mushroom Ravioli with Filet medallions.  The perfect balance of portions and flavor!,2 years ago
Pappageorge Restaurant & Bar,JP,5 stars,This place is consistently great.  Service is always good- food is always delicious.  Bartender and wait staff make you feel like you’re family!  Make a reservation as the restaurant is often full!  This speaks to the quality and popularity of PappaGeorge!  Love it here!!!,10 months ago
Pappageorge Restaurant & Bar,Susan Donahue,5 stars,"Stopped in for lunch while we were in Mankato for an appointment.  Deceiving from the outside, but as soon as you walk in, you feel this is a local favorite.  We were warmly greeted and shown a table.   My husband loved the wings, and the …",8 months ago
Pappageorge Restaurant & Bar,Marina Bonnes,5 stars,"When you’re in Mankato or Madison Lake, do yourself a favor and come here for dinner. The whole time I was here, all the bar, grills and restaurants served nothing put high fat, high cholesterol, awful food. Not a salad or veggie in site. …",3 years ago
Pappageorge Restaurant & Bar,Jennifer Hodge,5 stars,"We found this place in a search and it was highly recommended. We visited for dinner on a Wednesday night. We were asked if we had a reservation, but we didn't need one. We were seated right inside the door, which made conversation a little …",a year ago
